Strike,Maturity,Price
2200.0,0.419,0.028020486
2325.0,0.112,0.009106539
2400.0,0.093,0.0072808685
2510.0,0.17,0.00883029
2525.0,0.036000000000000004,0.0029914798
2525.0,0.342,0.015020317
2550.0,0.112,0.0061827656
2550.0,0.151,0.0075372676
2580.0,0.17,0.007719988
2590.0,0.17,0.0075591193
2625.0,0.093,0.004547718
2625.0,0.112,0.00517319
2625.0,0.342,0.01257428
2650.0,0.17,0.0065841163
2650.0,1.588,0.051856615
2675.0,0.044,0.0022614778
2685.0,0.027000000000000003,0.0014680818
2700.0,0.591,0.018146584
2725.0,0.131,0.004327973
2750.0,0.093,0.00301965
2760.0,0.036000000000000004,0.0013666413
2770.0,0.011,0.00045494843
2770.0,0.016,0.00064318784
2780.0,0.005,0.0002039101
2780.0,0.011,0.00043293132
2785.0,0.07400000000000001,0.0021789763
2785.0,0.093,0.0026266421
2790.0,0.011,0.00041146306
2790.0,0.044,0.0014028484
2795.0,0.016,0.0005675601
2795.0,0.055,0.0016407366
2800.0,0.246,0.006056761
2800.0,1.09,0.02884127
2805.0,0.011,0.0003803424
2805.0,0.027000000000000003,0.00086042605
2810.0,0.03,0.0009191322
2810.0,0.093,0.002362427
2810.0,0.203,0.0048667477
2815.0,0.005,0.00016935452
2815.0,0.011,0.0003603475
2815.0,0.055,0.0014904713
2820.0,0.036000000000000004,0.0010201678
2825.0,0.005,0.00016013911
2825.0,0.036000000000000004,0.0009938092
2825.0,0.17,0.0038643489
2830.0,0.005,0.00015564624
2830.0,0.011,0.00033152962
2830.0,0.036000000000000004,0.0009678686
2830.0,0.07400000000000001,0.0017735438
2835.0,0.005,0.00015123108
2835.0,0.036000000000000004,0.00094235083
2835.0,0.07400000000000001,0.0017315457
2845.0,0.011,0.00030416696
2850.0,0.112,0.0023435445
2850.0,1.588,0.041725095
2850.0,2.585,0.07461893
2855.0,0.011,0.00028675311
2855.0,0.036000000000000004,0.0008446121
2855.0,0.07400000000000001,0.0015700979
2860.0,0.005,0.00013034353
2860.0,0.011,0.00027829755
2860.0,0.036000000000000004,0.0008212781
2860.0,0.07400000000000001,0.0015314088
2860.0,0.112,0.0022428914
2860.0,0.285,0.005951831
2865.0,0.005,0.00012640723
2865.0,0.011,0.00027001108
2865.0,0.112,0.002193754
2870.0,0.005,0.000122552
2870.0,0.011,0.00026189382
2870.0,0.036000000000000004,0.0007759497
2875.0,0.005,0.000118778255
2875.0,0.036000000000000004,0.00075395865
2875.0,0.07400000000000001,0.0014194512
2875.0,0.112,0.0020978842
2875.0,0.189,0.0036203195
2875.0,0.285,0.0056966343
2875.0,0.591,0.012687577
2875.0,0.841,0.018851569
2880.0,0.011,0.0002461692
2880.0,0.07400000000000001,0.0013835134
2880.0,0.189,0.0035560944
2885.0,0.005,0.00011147489
2890.0,0.036000000000000004,0.0006906906
2890.0,0.131,0.0022994122
2895.0,0.036000000000000004,0.00067050365
2895.0,0.112,0.0019159401
2900.0,0.112,0.0018725175
2900.0,0.203,0.0035887617
2900.0,0.342,0.0065186205
2900.0,0.841,0.01797638
2905.0,0.011,0.00020982871
2905.0,0.016,0.0002994043
2905.0,0.036000000000000004,0.00063148054
2910.0,0.005,9.463721e-05
2910.0,0.011,0.00020306694
2910.0,0.016,0.0002898964
2910.0,0.07400000000000001,0.001182511
2915.0,0.011,0.00019647201
2915.0,0.03,0.0005033311
2920.0,0.005,8.846415e-05
2925.0,0.005,8.5496344e-05
2925.0,0.011,0.0001837798
2925.0,0.055,0.0008245354
2935.0,0.016,0.00024581922
2935.0,0.07400000000000001,0.0010340762
2940.0,0.011,0.00016596357
2940.0,0.17,0.0025081197
2945.0,0.016,0.00022977024
2945.0,0.055,0.0007338679
2945.0,0.093,0.0012413337
2950.0,0.005,7.181455e-05
2950.0,0.016,0.00022207579
2950.0,0.036000000000000004,0.0004777192
2950.0,0.063,0.00081409997
2955.0,0.011,0.00014957569
2955.0,0.063,0.00079120474
2960.0,0.016,0.00020733348
2970.0,0.016,0.00019343378
2975.0,0.005,5.9982554e-05
2975.0,0.016,0.00018679207
2975.0,0.036000000000000004,0.00040704888
2975.0,0.093,0.0010667439
2975.0,0.419,0.006800441
2985.0,0.112,0.0012595844
2985.0,0.246,0.003398091
3000.0,0.17,0.0019952233
3000.0,1.09,0.020631794
3005.0,0.112,0.0011480836
3015.0,0.016,0.00014060542
3020.0,0.17,0.001852763
3035.0,0.151,0.0014878586
3040.0,0.093,0.0007718876
3100.0,0.093,0.0005842328
4200.0,2.585,0.026108839
