Strike,Maturity,Dupire
2200.0,0.419,0.41603634
2325.0,0.112,0.34855002
2400.0,0.093,0.34770507
2510.0,0.17,0.2917677
2525.0,0.036000000000000004,0.4248611
2525.0,0.342,0.28609416
2550.0,0.112,0.30294847
2550.0,0.151,0.28823987
2580.0,0.17,0.2790454
2590.0,0.17,0.27648672
2625.0,0.093,0.28976494
2625.0,0.112,0.27910233
2625.0,0.342,0.253729
2650.0,0.17,0.2550734
2650.0,1.588,0.2306961
2675.0,0.044,0.30639318
2685.0,0.027000000000000003,0.3241449
2700.0,0.591,0.2119219
2725.0,0.131,0.21733934
2750.0,0.093,0.2060917
2760.0,0.036000000000000004,0.23100708
2770.0,0.011,0.25154302
2770.0,0.016,0.24438776
2780.0,0.005,0.24840869
2780.0,0.011,0.23951748
2785.0,0.07400000000000001,0.18457015
2785.0,0.093,0.18093568
2790.0,0.011,0.22771661
2790.0,0.044,0.19509959
2795.0,0.016,0.21584521
2795.0,0.055,0.18400754
2800.0,0.246,0.17517185
2800.0,1.09,0.18987352
2805.0,0.011,0.21052039
2805.0,0.027000000000000003,0.19403698
2810.0,0.03,0.18671276
2810.0,0.093,0.16404027
2810.0,0.203,0.16966905
2815.0,0.005,0.20643905
2815.0,0.011,0.19944184
2815.0,0.055,0.16776153
2820.0,0.036000000000000004,0.17321885
2825.0,0.005,0.19517247
2825.0,0.036000000000000004,0.16883591
2825.0,0.17,0.15939799
2830.0,0.005,0.18967858
2830.0,0.011,0.18347187
2830.0,0.036000000000000004,0.16453074
2830.0,0.07400000000000001,0.15221544
2835.0,0.005,0.18428151
2835.0,0.036000000000000004,0.16030487
2835.0,0.07400000000000001,0.14890282
2845.0,0.011,0.16834414
2850.0,0.112,0.14102423
2850.0,1.588,0.19691788
2850.0,2.585,0.21506289
2855.0,0.011,0.1587536
2855.0,0.036000000000000004,0.14421873
2855.0,0.07400000000000001,0.13626651
2860.0,0.005,0.1588268
2860.0,0.011,0.15411082
2860.0,0.036000000000000004,0.14040563
2860.0,0.07400000000000001,0.13326347
2860.0,0.112,0.1357971
2860.0,0.285,0.14975582
2865.0,0.005,0.1540537
2865.0,0.011,0.1495711
2865.0,0.112,0.13325933
2870.0,0.005,0.14938901
2870.0,0.011,0.1451351
2870.0,0.036000000000000004,0.13303284
2875.0,0.005,0.14483362
2875.0,0.036000000000000004,0.12947337
2875.0,0.07400000000000001,0.124632694
2875.0,0.112,0.12833588
2875.0,0.189,0.1385666
2875.0,0.285,0.14396633
2875.0,0.591,0.14824381
2875.0,0.841,0.1575177
2880.0,0.011,0.13657564
2880.0,0.07400000000000001,0.121881865
2880.0,0.189,0.13650636
2885.0,0.005,0.13605137
2890.0,0.036000000000000004,0.11930176
2890.0,0.131,0.12422675
2895.0,0.036000000000000004,0.116079
2895.0,0.112,0.1190976
2900.0,0.112,0.11691402
2900.0,0.203,0.13015133
2900.0,0.342,0.13631052
2900.0,0.841,0.15034334
2905.0,0.011,0.11699754
2905.0,0.016,0.115060635
2905.0,0.036000000000000004,0.10988198
2910.0,0.005,0.1160063
2910.0,0.011,0.113390334
2910.0,0.016,0.111596406
2910.0,0.07400000000000001,0.10668334
2915.0,0.011,0.10988389
2915.0,0.03,0.10491216
2920.0,0.005,0.10873918
2925.0,0.005,0.10526258
2925.0,0.011,0.10316949
2925.0,0.055,0.09814402
2935.0,0.016,0.09569884
2935.0,0.07400000000000001,0.09567559
2940.0,0.011,0.09382365
2940.0,0.17,0.111858465
2945.0,0.016,0.08998037
2945.0,0.055,0.089104354
2945.0,0.093,0.09542644
2950.0,0.005,0.089390226
2950.0,0.016,0.087252565
2950.0,0.036000000000000004,0.08592079
2950.0,0.063,0.08812908
2955.0,0.011,0.085312694
2955.0,0.063,0.08616805
2960.0,0.016,0.0820517
2970.0,0.016,0.07717917
2975.0,0.005,0.0758799
2975.0,0.016,0.07486167
2975.0,0.036000000000000004,0.0751705
2975.0,0.093,0.085385166
2975.0,0.419,0.116903
2985.0,0.112,0.08706224
2985.0,0.246,0.10804784
3000.0,0.17,0.0954092
3000.0,1.09,0.13722673
3005.0,0.112,0.081863314
3015.0,0.016,0.05893647
3020.0,0.17,0.09104542
3035.0,0.151,0.08430992
3040.0,0.093,0.069006644
3100.0,0.093,0.05927285
4200.0,2.585,0.097422585
